id,type,condition,question,gold_answer,generation,prediction,C_P_W,strict_correct,lenient_correct,notes
5ab392ec55429969a97a817d,comparison,o3_oracle_block_output,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, <answer>Baseball came out first. FINAL: <answer>Baseball came out first.,Baseball came out first.,,,,
5ab392ec55429969a97a817d,comparison,o3_oracle_block_output_unaligned,Which movie came out first Baseball or Tunisian Victory ?,Tunisian Victory, <answer>Baseball came out first. FINAL: <answer>Baseball came out first.,Baseball came out first.,,,,
5ab7268b5542992aa3b8c7b1,bridge,o1_oracle_attention_output,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, <answer> Ang Lee.,Ang Lee.,,,,
5ab7268b5542992aa3b8c7b1,bridge,o2_oracle_post_attention_state,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, <answer>Ang Lee.,Ang Lee.,,,,
5ab7268b5542992aa3b8c7b1,bridge,o3_oracle_block_output,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, <answer>Ang Lee.,Ang Lee.,,,,
5ab7268b5542992aa3b8c7b1,bridge,o3_oracle_block_output_unaligned,Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee, <answer>Ang Lee.,Ang Lee.,,,,
5a83305d55429966c78a6b4a,comparison,o1_oracle_attention_output,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," <answer>MedStar Georgetown University Hospital and Providence Hospital are both located in the state of Washington, D.C. However, since Washington, D.C. is","MedStar Georgetown University Hospital and Providence Hospital are both located in the state of Washington, D.C. However,",,,,
5a83305d55429966c78a6b4a,comparison,o2_oracle_post_attention_state,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," <answer>Washington, D.C.</answer>","Washington, D.C.",,,,
5a83305d55429966c78a6b4a,comparison,o3_oracle_block_output,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," <answer>Washington, D.C.</answer>","Washington, D.C.",,,,
5a83305d55429966c78a6b4a,comparison,o3_oracle_block_output_unaligned,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,District of Columbia," <answer>Washington, D.C.</answer>","Washington, D.C.",,,,
5ac19ff35542991316484b61,comparison,o1_oracle_attention_output,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb," <answer>Phineas and Ferb was published or broadcast first. ""The Graveyard Book"" was published in 2008, while ""","Phineas and Ferb was published or broadcast first. ""The Graveyard Book"" was published in 2008, while """,,,,
5ac19ff35542991316484b61,comparison,o2_oracle_post_attention_state,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb," <answer>Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17, ","Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17,",,,,
5ac19ff35542991316484b61,comparison,o3_oracle_block_output,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb," <answer>Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17, ","Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17,",,,,
5ac19ff35542991316484b61,comparison,o3_oracle_block_output_unaligned,"Which was published or broadcast first, The Graveyard Book of Phineas and Ferb?",Phineas and Ferb," <answer>Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17, ","Phineas and Ferb was published or broadcast first, as it originally broadcast as a one-episode preview on August 17,",,,,
5a89e92c5542993b751ca9af,bridge,o1_oracle_attention_output,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy", The 54th edition of the 2009 UEFA Champions League Final was played on 27 May 2009 at the St,The 54th edition of the 2009 UEFA Champions League Final was played on 27 May 2009 at the St,,,,
5a89e92c5542993b751ca9af,bridge,o2_oracle_post_attention_state,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy", The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,,,,
5a89e92c5542993b751ca9af,bridge,o3_oracle_block_output,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy", The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,,,,
5a89e92c5542993b751ca9af,bridge,o3_oracle_block_output_unaligned,"What was the 54th edition the 2009 UEFA Champions League Final, Europe's premier club football tournament , played?","Stadio Olimpico in Rome, Italy", The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,The 2009 UEFA Champions League Final was played at the Stadio Olimpico in Rome on 27 May 2009,,,,
5a7e05ba5542995f4f402392,bridge,o1_oracle_attention_output,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer>The Late Late Show</answer>,The Late Late Show,,,,
5a7e05ba5542995f4f402392,bridge,o2_oracle_post_attention_state,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer>The Late Late Show</answer>,The Late Late Show,,,,
5a7e05ba5542995f4f402392,bridge,o3_oracle_block_output,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer>The Late Late Show</answer>,The Late Late Show,,,,
5a7e05ba5542995f4f402392,bridge,o3_oracle_block_output_unaligned,For One Night Only was hosted by the man most well-known for hosting what show from 1962 until 1999?,The Late Late Show, <answer>The Late Late Show</answer>,The Late Late Show,,,,
5a8e276b5542995a26add468,comparison,o1_oracle_attention_output,"Which band formed first, Swervedriver or Incubus?",Swervedriver, Swervedriver.,Swervedriver.,,,,
5a8e276b5542995a26add468,comparison,o2_oracle_post_attention_state,"Which band formed first, Swervedriver or Incubus?",Swervedriver, <answer>Swervedriver formed first. FINAL: <answer>Swervedriver formed first.,Swervedriver formed first.,,,,
5a8e276b5542995a26add468,comparison,o3_oracle_block_output,"Which band formed first, Swervedriver or Incubus?",Swervedriver, <answer>Swervedriver formed first. FINAL: <answer>Swervedriver formed first.,Swervedriver formed first.,,,,
5a8e276b5542995a26add468,comparison,o3_oracle_block_output_unaligned,"Which band formed first, Swervedriver or Incubus?",Swervedriver, <answer>Swervedriver formed first. FINAL: <answer>Swervedriver formed first.,Swervedriver formed first.,,,,
5a7a83b3554299042af8f652,bridge,o1_oracle_attention_output,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,The Deal,,,,
5a7a83b3554299042af8f652,bridge,o2_oracle_post_attention_state,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,The Deal,,,,
5a7a83b3554299042af8f652,bridge,o3_oracle_block_output,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,The Deal,,,,
5a7a83b3554299042af8f652,bridge,o3_oracle_block_output_unaligned,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""", The Deal,The Deal,,,,
5ab2b95c5542991669774072,bridge,o1_oracle_attention_output,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,Australia.,,,,
5ab2b95c5542991669774072,bridge,o2_oracle_post_attention_state,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,Australia.,,,,
5ab2b95c5542991669774072,bridge,o3_oracle_block_output,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,Australia.,,,,
5ab2b95c5542991669774072,bridge,o3_oracle_block_output_unaligned,Women's soccer star Caprice Dydasco plays for Newcastle Jets FC based in what nation?,Australia, Australia.,Australia.,,,,
5ae4cf975542990ba0bbb151,bridge,o1_oracle_attention_output,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline," <answer> The line is ""Movie Masters,"" which featured characters from DC Comics, including those created by Bob Kane and Bill Finger. FINAL: <answer>","The line is ""Movie Masters,"" which featured characters from DC Comics, including those created by Bob Kane and Bill Finger. FINAL:",,,,
5ae4cf975542990ba0bbb151,bridge,o2_oracle_post_attention_state,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline, <answer>Movie Masters</answer>,Movie Masters,,,,
5ae4cf975542990ba0bbb151,bridge,o3_oracle_block_output,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline, <answer>Movie Masters</answer>,Movie Masters,,,,
5ae4cf975542990ba0bbb151,bridge,o3_oracle_block_output_unaligned,What line featured characters from a DC Comic creator by Bob Kane and Bill Finger?,action figure toyline, <answer>Movie Masters</answer>,Movie Masters,,,,
5a79c8945542994bb945709e,bridge,o1_oracle_attention_output,"What year did the director of ""Madadayo"" die?",1998, <answer>1989</answer>,1989,,,,
5a79c8945542994bb945709e,bridge,o2_oracle_post_attention_state,"What year did the director of ""Madadayo"" die?",1998, <answer>1998</answer>,1998,,,,
5a79c8945542994bb945709e,bridge,o3_oracle_block_output,"What year did the director of ""Madadayo"" die?",1998, <answer>1998</answer>,1998,,,,
5a79c8945542994bb945709e,bridge,o3_oracle_block_output_unaligned,"What year did the director of ""Madadayo"" die?",1998, <answer>1998</answer>,1998,,,,
5ae7c5ef5542993210983f44,bridge,o1_oracle_attention_output,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", <answer> Gainesville.,Gainesville.,,,,
5ae7c5ef5542993210983f44,bridge,o2_oracle_post_attention_state,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", <answer>Gainesville</answer>,Gainesville,,,,
5ae7c5ef5542993210983f44,bridge,o3_oracle_block_output,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", <answer>Gainesville</answer>,Gainesville,,,,
5ae7c5ef5542993210983f44,bridge,o3_oracle_block_output_unaligned,Which North Central town in Florida is home to the punk rock band Against Me!?,"Gainesville, Florida", <answer>Gainesville</answer>,Gainesville,,,,
5a79131a554299148911f9e3,bridge,o1_oracle_attention_output," Also known as the Great Action, what other name did this event go by?",Große Aktion, Great Action.,Great Action.,,,,
5a79131a554299148911f9e3,bridge,o2_oracle_post_attention_state," Also known as the Great Action, what other name did this event go by?",Große Aktion, <answer>Große Aktion</answer>,Große Aktion,,,,
5a79131a554299148911f9e3,bridge,o3_oracle_block_output," Also known as the Great Action, what other name did this event go by?",Große Aktion, <answer>Große Aktion</answer>,Große Aktion,,,,
5a79131a554299148911f9e3,bridge,o3_oracle_block_output_unaligned," Also known as the Great Action, what other name did this event go by?",Große Aktion, <answer>Große Aktion</answer>,Große Aktion,,,,
5a89fc305542993b751ca9dc,bridge,o1_oracle_attention_output,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, <answer> The Outer Banks landmark and premiere BBQ restaurant featured in Southern Living is Pigman's Bar-B-Que.,The Outer Banks landmark and premiere BBQ restaurant featured in Southern Living is Pigman's Bar-B-Que.,,,,
5a89fc305542993b751ca9dc,bridge,o2_oracle_post_attention_state,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, Pigman's Bar-B-Que.,Pigman's Bar-B-Que.,,,,
5a89fc305542993b751ca9dc,bridge,o3_oracle_block_output,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, Pigman's Bar-B-Que.,Pigman's Bar-B-Que.,,,,
5a89fc305542993b751ca9dc,bridge,o3_oracle_block_output_unaligned,Which Outer Banks landmark and premiere BBQ restaurant has been featured in the magazine Southern Living?,Pigman's Bar-B-Que, Pigman's Bar-B-Que.,Pigman's Bar-B-Que.,,,,
5a727ca45542994cef4bc2d8,bridge,o1_oracle_attention_output,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Old Orchard Shopping Center is currently called Old Orchard. FINAL: <answer>Old Orchard</answer>,Old Orchard,,,,
5a727ca45542994cef4bc2d8,bridge,o2_oracle_post_attention_state,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Westfield Old Orchard.,Westfield Old Orchard.,,,,
5a727ca45542994cef4bc2d8,bridge,o3_oracle_block_output,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Westfield Old Orchard.,Westfield Old Orchard.,,,,
5a727ca45542994cef4bc2d8,bridge,o3_oracle_block_output_unaligned,What is Old Orchard Shopping Center currently called?,Westfield Old Orchard, Westfield Old Orchard.,Westfield Old Orchard.,,,,
5ab846e155429919ba4e229c,comparison,o1_oracle_attention_output,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche," Tony Roche won more Grand Slam doubles titles, with 13, compared to Jamie Murray's 5.  
FINAL: <answer> Tony Roche",Tony Roche,,,,
5ab846e155429919ba4e229c,comparison,o2_oracle_post_attention_state,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche," Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL: <answer>","Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL:",,,,
5ab846e155429919ba4e229c,comparison,o3_oracle_block_output,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche," Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL: <answer>","Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL:",,,,
5ab846e155429919ba4e229c,comparison,o3_oracle_block_output_unaligned,"Who won more Grand Slam doubles titles, Tony Roche or Jamie Murray?",Anthony Dalton Roche," Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL: <answer>","Tony Roche won more Grand Slam doubles titles, with thirteen, compared to Jamie Murray's five. FINAL:",,,,
5addfe1c5542995b365fabaf,comparison,o1_oracle_attention_output,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," <answer>No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.</answer>","No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.",,,,
5addfe1c5542995b365fabaf,comparison,o2_oracle_post_attention_state,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," <answer>No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.</answer>","No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.",,,,
5addfe1c5542995b365fabaf,comparison,o3_oracle_block_output,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," <answer>No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.</answer>","No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.",,,,
5addfe1c5542995b365fabaf,comparison,o3_oracle_block_output_unaligned,Are Wolfgang Becker and Jacques Audiard both German film directors?,no," <answer>No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.</answer>","No, Wolfgang Becker is a German film director, but Jacques Audiard is a French film director.",,,,
5abd13b655429924427fceea,bridge,o1_oracle_attention_output," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, Jack White.,Jack White.,,,,
5abd13b655429924427fceea,bridge,o2_oracle_post_attention_state," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, <answer>Jack White</answer>,Jack White,,,,
5abd13b655429924427fceea,bridge,o3_oracle_block_output," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, <answer>Jack White</answer>,Jack White,,,,
5abd13b655429924427fceea,bridge,o3_oracle_block_output_unaligned," Which singer, who released his debut solo album in 2012, served as producer for the EP Live at the Third Man by White Denim in 2011?",Jack White, <answer>Jack White</answer>,Jack White,,,,
5ae1b1aa5542997283cd223f,bridge,o1_oracle_attention_output,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers," The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the Los Angeles","The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the Los Angeles",,,,
5ae1b1aa5542997283cd223f,bridge,o2_oracle_post_attention_state,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers," <answer>The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the","The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the",,,,
5ae1b1aa5542997283cd223f,bridge,o3_oracle_block_output,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers," <answer>The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the","The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the",,,,
5ae1b1aa5542997283cd223f,bridge,o3_oracle_block_output_unaligned,What was the other Los Angeles team that the 1999 Clippers top draft pick played for and won two championships with?,Los Angeles Lakers," <answer>The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the","The other Los Angeles team that the 1999 Clippers top draft pick, Lamar Odom, played for and won two championships with was the",,,,
5ac2758b55429963665199c3,bridge,o1_oracle_attention_output,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer> 2 December 1920.,2 December 1920.,,,,
5ac2758b55429963665199c3,bridge,o2_oracle_post_attention_state,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer>10 January 1920.,10 January 1920.,,,,
5ac2758b55429963665199c3,bridge,o3_oracle_block_output,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer>10 January 1920.,10 January 1920.,,,,
5ac2758b55429963665199c3,bridge,o3_oracle_block_output_unaligned,The organization that Nicolae Titulescu served two terms as president was founded on what date?,10 January 1920, <answer>10 January 1920.,10 January 1920.,,,,
5ae560155542990ba0bbb293,comparison,o1_oracle_attention_output,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no, <answer>No</answer>,No,,,,
5ae560155542990ba0bbb293,comparison,o2_oracle_post_attention_state,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no," <answer>No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.</answer>","No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.",,,,
5ae560155542990ba0bbb293,comparison,o3_oracle_block_output,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no," <answer>No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.</answer>","No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.",,,,
5ae560155542990ba0bbb293,comparison,o3_oracle_block_output_unaligned,Were The Living Desert and What Would Jesus Buy? directed by the same person?,no," <answer>No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.</answer>","No. The Living Desert was directed by James Algar, while What Would Jesus Buy? was directed by Rob VanAlkemade.",,,,
5a81c90a5542990a1d231eb4,comparison,o1_oracle_attention_output,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," <answer>No, Tiger Please is from the United Kingdom, while Black Rebel Motorcycle Club is from the United States.</answer>","No, Tiger Please is from the United Kingdom, while Black Rebel Motorcycle Club is from the United States.",,,,
5a81c90a5542990a1d231eb4,comparison,o2_oracle_post_attention_state,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," <answer>No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.</answer>","No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.",,,,
5a81c90a5542990a1d231eb4,comparison,o3_oracle_block_output,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," <answer>No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.</answer>","No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.",,,,
5a81c90a5542990a1d231eb4,comparison,o3_oracle_block_output_unaligned,Are the bands Tiger Please and Black Rebel Motorcycle Club from the same country? ,no," <answer>No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.</answer>","No, Tiger Please is from Wales and Black Rebel Motorcycle Club is from the United States, so they are not from the same country.",,,,
5adec53655429975fa854f87,comparison,o1_oracle_attention_output,Are Kim Dong-jun and Charlie Harper both singers?,yes," <answer>Yes, Kim Dong-jun and Charlie Harper are both singers.</answer>","Yes, Kim Dong-jun and Charlie Harper are both singers.",,,,
5adec53655429975fa854f87,comparison,o2_oracle_post_attention_state,Are Kim Dong-jun and Charlie Harper both singers?,yes," <answer> Yes, Kim Dong-jun and Charlie Harper are both singers.","Yes, Kim Dong-jun and Charlie Harper are both singers.",,,,
5adec53655429975fa854f87,comparison,o3_oracle_block_output,Are Kim Dong-jun and Charlie Harper both singers?,yes," <answer> Yes, Kim Dong-jun and Charlie Harper are both singers.","Yes, Kim Dong-jun and Charlie Harper are both singers.",,,,
5adec53655429975fa854f87,comparison,o3_oracle_block_output_unaligned,Are Kim Dong-jun and Charlie Harper both singers?,yes," <answer> Yes, Kim Dong-jun and Charlie Harper are both singers.","Yes, Kim Dong-jun and Charlie Harper are both singers.",,,,
5a8b6ee255429950cd6afcfd,comparison,o1_oracle_attention_output,"Whiich genus has more species, Dracula or Pistacia?",Dracula, Dracula has more species. FINAL: <answer>,Dracula has more species. FINAL:,,,,
5a8b6ee255429950cd6afcfd,comparison,o2_oracle_post_attention_state,"Whiich genus has more species, Dracula or Pistacia?",Dracula," <answer>Dracula has more species, with 118 species compared to Pistacia's 10 to 20 species. FINAL: <",<,,,,
5a8b6ee255429950cd6afcfd,comparison,o3_oracle_block_output,"Whiich genus has more species, Dracula or Pistacia?",Dracula," <answer>Dracula has more species, with 118 species compared to Pistacia's 10 to 20 species. FINAL: <",<,,,,
5a8b6ee255429950cd6afcfd,comparison,o3_oracle_block_output_unaligned,"Whiich genus has more species, Dracula or Pistacia?",Dracula," <answer>Dracula has more species, with 118 species compared to Pistacia's 10 to 20 species. FINAL: <",<,,,,
5add39c45542995b365faac5,comparison,o1_oracle_attention_output,Did the the Battle of Stones River occur before the Battle of Saipan?,yes," <answer>Yes, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 29,","Yes, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 29,",,,,
5add39c45542995b365faac5,comparison,o2_oracle_post_attention_state,Did the the Battle of Stones River occur before the Battle of Saipan?,yes," <answer> No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,","No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,",,,,
5add39c45542995b365faac5,comparison,o3_oracle_block_output,Did the the Battle of Stones River occur before the Battle of Saipan?,yes," <answer> No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,","No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,",,,,
5add39c45542995b365faac5,comparison,o3_oracle_block_output_unaligned,Did the the Battle of Stones River occur before the Battle of Saipan?,yes," <answer> No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,","No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,",,,,
5abe3dc65542993f32c2a0c4,bridge,o1_oracle_attention_output,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8," <answer>SWX Right Now airs on channel 11 in Billings, Montana.</answer>","SWX Right Now airs on channel 11 in Billings, Montana.",,,,
5abe3dc65542993f32c2a0c4,bridge,o2_oracle_post_attention_state,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8," <answer>SWX Right Now airs on channel 11 in Billings, Montana.</answer>","SWX Right Now airs on channel 11 in Billings, Montana.",,,,
5abe3dc65542993f32c2a0c4,bridge,o3_oracle_block_output,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8," <answer>SWX Right Now airs on channel 11 in Billings, Montana.</answer>","SWX Right Now airs on channel 11 in Billings, Montana.",,,,
