id,condition,question,gold_answer,generation,C_P_W,strict_correct,lenient_correct
5a8b6ee255429950cd6afcfd,qwen3_4b_qconditioned_hard_shuffled_reader_c,"Whiich genus has more species, Dracula or Pistacia?",Dracula, Dracula,,,
5add39c45542995b365faac5,question_only,Did the the Battle of Stones River occur before the Battle of Saipan?,yes, Yes.,,,
5add39c45542995b365faac5,reader_off,Did the the Battle of Stones River occur before the Battle of Saipan?,yes, Yes.,,,
5add39c45542995b365faac5,full_evidence_text,Did the the Battle of Stones River occur before the Battle of Saipan?,yes," <answer> No, the Battle of Stones River occurred before the Battle of Saipan. The Battle of Stones River took place from December 31,",,,
5add39c45542995b365faac5,qwen3_4b_qconditioned_native_reader_c,Did the the Battle of Stones River occur before the Battle of Saipan?,yes, yes,,,
5add39c45542995b365faac5,qwen3_4b_qconditioned_hard_shuffled_reader_c,Did the the Battle of Stones River occur before the Battle of Saipan?,yes, no,,,
5abe3dc65542993f32c2a0c4,question_only,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8, 11.,,,
5abe3dc65542993f32c2a0c4,reader_off,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8, 11.,,,
5abe3dc65542993f32c2a0c4,full_evidence_text,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8," <answer>SWX Right Now airs on channel 11 in Billings, Montana.</answer>",,,
5abe3dc65542993f32c2a0c4,qwen3_4b_qconditioned_native_reader_c,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8, 11,,,
5abe3dc65542993f32c2a0c4,qwen3_4b_qconditioned_hard_shuffled_reader_c,"SWX Right Now airs on the station that broadcasts on what channel in Billings, Montana?",8, 10,,,
5a7da0de5542990b8f5039d7,question_only,"Who was born earlier, Robert Mulligan or James Foley?",Robert Patrick Mulligan, Robert Mulligan was born earlier.,,,
5a7da0de5542990b8f5039d7,reader_off,"Who was born earlier, Robert Mulligan or James Foley?",Robert Patrick Mulligan, Robert Mulligan was born earlier.,,,
5a7da0de5542990b8f5039d7,full_evidence_text,"Who was born earlier, Robert Mulligan or James Foley?",Robert Patrick Mulligan," <answer>Robert Mulligan was born earlier than James Foley. Robert Mulligan was born on August 23, 1925, while James",,,
5a7da0de5542990b8f5039d7,qwen3_4b_qconditioned_native_reader_c,"Who was born earlier, Robert Mulligan or James Foley?",Robert Patrick Mulligan, Robert Mulligan,,,
5a7da0de5542990b8f5039d7,qwen3_4b_qconditioned_hard_shuffled_reader_c,"Who was born earlier, Robert Mulligan or James Foley?",Robert Patrick Mulligan, Robert Mulligan,,,
5ac3e0ab554299204fd21eae,question_only,What drummer stared along side a former president of the screen actors guild in a 2005 film?,Brad Wilk, Steve Gadd.,,,
5ac3e0ab554299204fd21eae,reader_off,What drummer stared along side a former president of the screen actors guild in a 2005 film?,Brad Wilk, Steve Gadd.,,,
5ac3e0ab554299204fd21eae,full_evidence_text,What drummer stared along side a former president of the screen actors guild in a 2005 film?,Brad Wilk, Brad Wilk.,,,
5ac3e0ab554299204fd21eae,qwen3_4b_qconditioned_native_reader_c,What drummer stared along side a former president of the screen actors guild in a 2005 film?,Brad Wilk, Brad Wilk,,,
5ac3e0ab554299204fd21eae,qwen3_4b_qconditioned_hard_shuffled_reader_c,What drummer stared along side a former president of the screen actors guild in a 2005 film?,Brad Wilk, John Bonham,,,
5adc6f6255429947ff173961,question_only,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory, Rothmannia.,,,
5adc6f6255429947ff173961,reader_off,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory, Rothmannia.,,,
5adc6f6255429947ff173961,full_evidence_text,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory, Rothmannia,,,
5adc6f6255429947ff173961,qwen3_4b_qconditioned_native_reader_c,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory, Rothmannia,,,
5adc6f6255429947ff173961,qwen3_4b_qconditioned_hard_shuffled_reader_c,"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory, Rothmannia,,,
5a793ea55542994bb9456fce,question_only,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?",The Chronicle of Philanthropy, The Chronicle of Philanthropy was first published earlier.,,,
5a793ea55542994bb9456fce,reader_off,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?",The Chronicle of Philanthropy, The Chronicle of Philanthropy was first published earlier.,,,
5a793ea55542994bb9456fce,full_evidence_text,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?",The Chronicle of Philanthropy," <answer>The Chronicle of Philanthropy was first published earlier, as it was founded in 1988, while Skeptic was first published in ",,,
5a793ea55542994bb9456fce,qwen3_4b_qconditioned_native_reader_c,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?",The Chronicle of Philanthropy, Skeptic,,,
